Component,Source Files,Functions,Edges,Build(s),SVF(s),Total(s),Status
third_party/angle,1219,118492,265265,,,,success
third_party/vulkan-validation-layers,223,108122,115543,,,,success
third_party/grpc,978,101861,98281,,,,success
third_party/webrtc,1421,64349,54047,,,,success
third_party/tflite,268,35281,46016,,,,success
third_party/harfbuzz-ng,70,24469,26787,,,,success
third_party/flatbuffers,63,20809,27232,,,,success
third_party/boringssl,442,18446,34543,,,,success
third_party/icu,912,18028,28600,,,,success
third_party/ink,82,15831,10563,,,,success
third_party/libwebp,133,15294,10474,,,,success
third_party/pdfium,1449,14758,11355,,,,success
third_party/breakpad,278,12795,10529,,,,success
third_party/abseil-cpp,311,11183,10720,,,,success
third_party/vulkan-utility-libraries,11,11055,7192,4.8,109.3,123.4,success
third_party/ipcz,176,10344,8624,,,,success
third_party/openscreen,359,8935,5888,,,,success
third_party/inspector_protocol,22,8559,10009,7.6,24.6,36.7,success
third_party/fuzztest,34,8483,5030,,,,success
third_party/libaom,319,6977,4270,,,,success
third_party/zxcvbn-cpp,8,6629,4790,4.8,19.0,26.8,success
third_party/mediapipe,212,6157,4386,,,,success
third_party/re2,22,5449,5165,7.2,11.4,25.6,success
third_party/googletest,18,5259,4905,10.2,12.7,30.6,success
third_party/webrtc_overrides,23,5255,2702,10.9,10.2,23.5,success
third_party/libvpx,284,5122,2884,,,,success
third_party/federated_compute,13,4760,3662,6.7,8.8,20.2,success
chrome/testing,30,4464,2126,,,,success
third_party/google_benchmark,20,4412,3409,6.3,10.5,19.2,success
third_party/xnnpack,1091,4137,2615,,,,success
third_party/liburlpattern,10,3751,4405,7.0,7.3,17.0,success
third_party/hunspell,14,3671,4121,4.5,14.4,21.1,success
third_party/ots,37,3470,2069,,,,success
third_party/sqlite,12,3251,19298,2.7,250.7,261.8,success
chrome/tools,84,3237,1879,,,,success
third_party/vulkan-tools,1,3137,1332,3.7,5.0,9.7,success
third_party/protobuf-javascript,3,3077,2624,6.9,21.7,30.3,success
third_party/rapidhash,1,3007,1539,8.6,3.5,13.3,success
third_party/spirv-tools,235,3001,2164,,,,success
third_party/rust,6,2958,1251,3.3,2.8,8.8,success
