lib_name,src_files,functions,edges,duration_sec,status,error
third_party/snappy,3,423,261,3.0,success,""
chrome/net,2120,0,0,0.0,building,""
third_party/lzma_sdk,33,0,0,0.0,pending,""
third_party/federated_compute,13,0,0,0.0,pending,""
chrome/pdf,139,0,0,0.0,pending,""
chrome/logging,2,0,0,0.0,pending,""
third_party/private_membership,3,0,0,0.0,pending,""
chrome/ipc,38,0,0,0.0,pending,""
chrome/library_loaders,3,0,0,0.0,pending,""
chrome/apps,14,0,0,0.0,pending,""
chrome/modules,5,0,0,0.0,pending,""
chrome/gpu,570,0,0,0.0,pending,""
chrome/mojo,690,0,0,0.0,pending,""
chrome/remoting,798,0,0,0.0,pending,""
chrome/media,1333,0,0,0.0,pending,""
third_party/material_color_utilities,14,0,0,0.0,pending,""
chrome/cld_3,3,0,0,0.0,pending,""
third_party/libpfm4,113,0,0,0.0,pending,""
third_party/catapult,6,0,0,0.0,pending,""
chrome/codelabs,33,0,0,0.0,pending,""
chrome/device,488,0,0,0.0,pending,""
third_party/fuzztest,34,0,0,0.0,pending,""
chrome/extensions,1193,0,0,0.0,pending,""
chrome/dbus,35,0,0,0.0,pending,""
chrome/content,3246,0,0,0.0,pending,""
chrome/gin,50,0,0,0.0,pending,""
chrome/crypto,58,0,0,0.0,pending,""
third_party/anonymous_tokens,26,0,0,0.0,pending,""
chrome/testing,30,0,0,0.0,pending,""
chrome/chromeos,5,0,0,0.0,pending,""
chrome/url,56,0,0,0.0,pending,""
third_party/flatbuffers,63,0,0,0.0,pending,""
chrome/components,10457,0,0,0.0,pending,""
third_party/private-join-and-compute,7,0,0,0.0,pending,""
chrome/services,2265,0,0,0.0,pending,""
third_party/inspector_protocol,22,0,0,0.0,pending,""
chrome/sql,33,0,0,0.0,pending,""
chrome/skia,72,0,0,0.0,pending,""
third_party/libc++abi,51,0,0,0.0,pending,""
chrome/sandbox,118,0,0,0.0,pending,""
chrome/google_apis,138,0,0,0.0,pending,""
chrome/storage,183,0,0,0.0,pending,""
third_party/mediapipe,212,0,0,0.0,pending,""
chrome/puffin,1,0,0,0.0,pending,""
third_party/angle,1219,0,0,0.0,pending,""
chrome/v8,2372,0,0,0.0,pending,""
chrome/base,1130,0,0,0.0,pending,""
third_party/blink,11101,0,0,0.0,pending,""
chrome/tracing,1,0,0,0.0,pending,""
third_party/abseil-cpp,311,0,0,0.0,pending,""
third_party/content_analysis_sdk,10,0,0,0.0,pending,""
third_party/lens_server_proto,42,0,0,0.0,pending,""
third_party/ink,82,0,0,0.0,pending,""
third_party/crc32c,12,0,0,0.0,pending,""
third_party/crashpad,333,0,0,0.0,pending,""
third_party/brotli,48,0,0,0.0,pending,""
third_party/libaddressinput,87,0,0,0.0,pending,""
third_party/dawn,1808,0,0,0.0,pending,""
third_party/ink_stroke_modeler,13,0,0,0.0,pending,""
third_party/dom_distiller_js,2,0,0,0.0,pending,""
third_party/dav1d,52,0,0,0.0,pending,""
third_party/icu,912,0,0,0.0,pending,""
third_party/grpc,978,0,0,0.0,pending,""
third_party/highway,62,0,0,0.0,pending,""
chrome/chrome,12235,0,0,0.0,pending,""
chrome/tools,84,0,0,0.0,pending,""
chrome/chromecast,18,0,0,0.0,pending,""
third_party/boringssl,442,0,0,0.0,pending,""
chrome/build,29,0,0,0.0,pending,""
chrome/api,2,0,0,0.0,pending,""
chrome/cc,654,0,0,0.0,pending,""
chrome/ui,2681,0,0,0.0,pending,""
chrome/printing,68,0,0,0.0,pending,""
third_party/leveldatabase,112,0,0,0.0,pending,""
third_party/libc++,147,0,0,0.0,pending,""
third_party/ipcz,176,0,0,0.0,pending,""
third_party/hunspell,14,0,0,0.0,pending,""
third_party/ffmpeg,213,0,0,0.0,pending,""
third_party/cast_core,1,0,0,0.0,pending,""
third_party/fft2d,2,0,0,0.0,pending,""
third_party/fdlibm,1,0,0,0.0,pending,""
third_party/googletest,18,0,0,0.0,pending,""
third_party/compiler-rt,3,0,0,0.0,pending,""
third_party/breakpad,278,0,0,0.0,pending,""
third_party/jsoncpp,3,0,0,0.0,pending,""
third_party/google_benchmark,20,0,0,0.0,pending,""
third_party/cpuinfo,21,0,0,0.0,pending,""
third_party/ced,7,0,0,0.0,pending,""
third_party/fast_float,7,0,0,0.0,pending,""
third_party/cld_3,24,0,0,0.0,pending,""
third_party/shell-encryption,28,0,0,0.0,pending,""
third_party/simdutf,1,0,0,0.0,pending,""
third_party/vulkan-validation-layers,223,0,0,0.0,pending,""
third_party/utf,30,0,0,0.0,pending,""
third_party/xnnpack,1091,0,0,0.0,pending,""
third_party/skia,1124,0,0,0.0,pending,""
third_party/spirv-tools,235,0,0,0.0,pending,""
third_party/zlib,40,0,0,0.0,pending,""
third_party/liburlpattern,10,0,0,0.0,pending,""
third_party/webrtc,1421,0,0,0.0,pending,""
third_party/fontconfig,27,0,0,0.0,pending,""
third_party/freetype,27,0,0,0.0,pending,""
third_party/flac,28,0,0,0.0,pending,""
third_party/openscreen,359,0,0,0.0,pending,""
third_party/harfbuzz-ng,70,0,0,0.0,pending,""
third_party/libphonenumber,30,0,0,0.0,pending,""
third_party/pdfium,1449,0,0,0.0,pending,""
third_party/nasm,81,0,0,0.0,pending,""
third_party/libxml,30,0,0,0.0,pending,""
third_party/libdrm,10,0,0,0.0,pending,""
third_party/openh264,86,0,0,0.0,pending,""
third_party/libzip,112,0,0,0.0,pending,""
third_party/ruy,32,0,0,0.0,pending,""
third_party/perfetto,1722,0,0,0.0,pending,""
third_party/libjingle_xmpp,13,0,0,0.0,pending,""
third_party/oak,33,0,0,0.0,pending,""
third_party/protobuf,128,0,0,0.0,pending,""
third_party/libyuv,36,0,0,0.0,pending,""
third_party/libsync,2,0,0,0.0,pending,""
third_party/libgav1,15,0,0,0.0,pending,""
third_party/libjpeg_turbo,130,0,0,0.0,pending,""
third_party/metrics_proto,37,0,0,0.0,pending,""
third_party/libpng,17,0,0,0.0,pending,""
third_party/search_engines_data,2,0,0,0.0,pending,""
third_party/one_euro_filter,1,0,0,0.0,pending,""
third_party/rapidhash,1,0,0,0.0,pending,""
third_party/ots,37,0,0,0.0,pending,""
third_party/libwebm,3,0,0,0.0,pending,""
third_party/libsrtp,17,0,0,0.0,pending,""
third_party/libwebp,133,0,0,0.0,pending,""
third_party/puffin,26,0,0,0.0,pending,""
third_party/protobuf-javascript,3,0,0,0.0,pending,""
third_party/pffft,4,0,0,0.0,pending,""
third_party/opus,157,0,0,0.0,pending,""
third_party/s2cellid,5,0,0,0.0,pending,""
third_party/rust,6,0,0,0.0,pending,""
third_party/libvpx,284,0,0,0.0,pending,""
third_party/libtess2,8,0,0,0.0,pending,""
third_party/pthreadpool,9,0,0,0.0,pending,""
third_party/selenium-atoms,1,0,0,0.0,pending,""
third_party/tflite,268,0,0,0.0,pending,""
third_party/vulkan-utility-libraries,11,0,0,0.0,pending,""
third_party/swiftshader,1550,0,0,0.0,pending,""
third_party/sqlite,12,0,0,0.0,pending,""
third_party/sentencepiece,15,0,0,0.0,pending,""
third_party/omnibox_proto,34,0,0,0.0,pending,""
third_party/rnnoise,1,0,0,0.0,pending,""
third_party/libxslt,19,0,0,0.0,pending,""
third_party/smhasher,2,0,0,0.0,pending,""
third_party/re2,22,0,0,0.0,pending,""
third_party/glslang,94,0,0,0.0,pending,""
third_party/vulkan-loader,15,0,0,0.0,pending,""
third_party/vulkan-tools,1,0,0,0.0,pending,""
third_party/unrar,49,0,0,0.0,pending,""
third_party/wayland-protocols,57,0,0,0.0,pending,""
third_party/wayland,17,0,0,0.0,pending,""
chrome/headless,67,0,0,0.0,pending,""
third_party/webrtc_overrides,23,0,0,0.0,pending,""
third_party/zstd,26,0,0,0.0,pending,""
third_party/vulkan_memory_allocator,1,0,0,0.0,pending,""
third_party/tensorflow-text,5,0,0,0.0,pending,""
third_party/woff2,5,0,0,0.0,pending,""
third_party/wuffs,1,0,0,0.0,pending,""
chrome/javascript_parser.pb.cc,1,0,0,0.0,pending,""
third_party/farmhash,1,0,0,0.0,pending,""
third_party/test_fonts,2,0,0,0.0,pending,""
third_party/modp_b64,1,0,0,0.0,pending,""
chrome/quic_trace,1,0,0,0.0,pending,""
third_party/tensorflow_models,7,0,0,0.0,pending,""
third_party/zxcvbn-cpp,8,0,0,0.0,pending,""
third_party/libprotobuf-mutator,9,0,0,0.0,pending,""
